id,lang,timespan,keyword,topics,topic_name,count
ger_1935_telephone_0,ger,1935,telephone,"['Heirat', 'Frau', 'Heir', 'Herr', 'Witwe', 'Angeb', 'zwecks', 'wuenschen', 'nett', 'Maedel', 'Bild', 'spaet', 'moechen', 'fest', 'Zuschr']",weddings,118
ger_1935_telephone_1,ger,1935,telephone,"['Zimmer', 'leer', 'verm', 'Sonn', 'vermieten', 'Miete', 'Moebl', 'Naeb', 'Balk', 'Wohnung', 'Naeh', 'vermiet', 'Wohn', 'monatlich', 'Garten']",real estate,709
ger_1935_telephone_2,ger,1935,telephone,"['deutsch', 'stehen', 'sehen', 'schwer', 'bringen', 'letzter', 'lassen', 'ueber', 'Mensch', 'Leben', 'bleiben', 'liegen', 'spielen', 'waehrend', 'Deutschland']",germany,539
ger_1935_telephone_3,ger,1935,telephone,"['Heimr', 'verk', 'verkaufen', 'Hansestadt', 'kaufen', 'billig', 'verlausen', 'AuSr', 'Verl', 'Tisch', 'Gebr', 'Bill', 'Verk', 'Juni', 'Schlafzimmer']",sales,867
ger_1935_telephone_4,ger,1935,telephone,"['suchen', 'sofort', 'aesucht', 'Maedche', 'leicht', 'fuer', 'Gesucht', 'tuechtig', 'Antritt', 'Dauerstellung', 'jung', 'Haushalt', 'Baeckerei', 'Stellung', 'Fuer']",hiring,896
fr_1890_telephone_0,fr,1890,telephone,"['mlle', 'theâtre', 'succe', 'acte', 'representation', 'artiste', 'premiere', 'prix', 'scene', 'soir', 'rôle', 'longueur', 'Mlle', 'musique', 'programme']",theatre,239
fr_1890_telephone_1,fr,1890,telephone,"['soir', 'heure', 'Concert', 'matin', 'theatre', 'concert', 'fete', 'Dimanches', 'revue', 'Jeudis', 'jardin', 'etage', 'Telephone', 'minuit', 'nuit']",theatre,910
fr_1890_telephone_2,fr,1890,telephone,"['fonciere', 'France', 'communale', 'serie', 'etablissement', 'Lyonnaise', 'Gener', 'Paris', 'fusion', 'Lits', 'Lyon', 'canal', 'Generale', 'Panama', 'parisien']",cities,877
fr_1890_telephone_3,fr,1890,telephone,"['cuisiniere', 'place', 'refer', 'valet', 'reference', 'menage', 'demande', 'desir', 'sach', 'concierge', 'ecrire', 'faire', 'chambre', 'maître', 'cocher']",hiring,309
fr_1890_telephone_4,fr,1890,telephone,"['temps', 'falloir', 'jour', 'chambre', 'politique', 'public', 'bien', 'gouvernement', 'fort', 'France', 'pays', 'depute', 'pouvoir', 'contre', 'côte']",politics,632
fr_1890_telephone_5,fr,1890,telephone,"['faire', 'bien', 'vouloir', 'savoir', 'être', 'voir', 'avoir', 'croire', 'president', 'jamais', 'main', 'venir', 'rien', 'lettre', 'chose']",politics,259
fr_1890_telephone_6,fr,1890,telephone,"['hier', 'comte', 'lieu', 'prince', 'matin', 'general', 'comtesse', 'marquis', 'corps', 'franc', 'heure', 'baron', 'Paris', 'docteur', 'recevoir']",aristocracy,227
fr_1890_telephone_7,fr,1890,telephone,"['louer', 'prix', 'meuble', 'franc', 'salon', 'vendre', 'salle', 'Paris', 'ecurie', 'appartement', 'jardin', 'vente', 'etage', 'bains', 'maison']",real estate,790
fr_1890_telephone_8,fr,1890,telephone,"['titre', 'banque', 'franc', 'centime', 'comptant', 'cours', 'Paris', 'bourse', 'tirage', 'action', 'valeur', 'rente', 'obligation', 'concours', 'avance']",stock,1768
fr_1890_telephone_9,fr,1890,telephone,"['pari', 'jouis', 'marseille', 'jouissance', 'français', 'part', 'paye', 'madrid', 'etrang', 'moulin', 'gener', 'general', 'chargeur', 'corbeil', 'dynamite']",random,0
fr_1890_telephone_10,fr,1890,telephone,"['capit', 'hôtel', 'ordre', 'hotel', 'partir', 'pension', 'Havre', 'Marseille', 'Hôtel', 'confort', 'soir', 'bains', 'arrive', 'ceder', 'Casino']",hotels,729
fr_1890_telephone_11,fr,1890,telephone,"['administration', 'redaction', 'Louis', 'bronze', 'noyer', 'rédaction', 'Gaston', 'valeur', 'table', 'style', 'RODAYS', 'chaise', 'PÉRIVIER', 'administrateur', 'redacteur']",administration,672
fr_1900_iron_0,fr,1900,iron,"['comte', 'marquis', 'comtesse', 'mlle', 'baron', 'baronne', 'vicomte', 'comtess', 'princesse', 'decede', 'chapeau', 'prince', 'mariage', 'obseque', 'noir']",aristocracy,313
fr_1900_iron_1,fr,1900,iron,"['Russie', 'japonais', 'russe', 'troupe', 'prince', 'puissance', 'lord', 'gouvernement', 'ministre', 'depeche', 'allemand', 'boer', 'anglais', 'guerre', 'Berlin']",war,536
fr_1900_iron_2,fr,1900,iron,"['valeur', 'banque', 'million', 'fonds', 'contre', 'ferme', 'marche', 'recette', 'calme', 'franc', 'obligation', 'tendance', 'clôture', 'peseta', 'Credit']",stock,945
fr_1900_iron_3,fr,1900,iron,"['ministre', 'chambre', 'projet', 'commission', 'question', 'conseil', 'depute', 'travail', 'budget', 'gouvernement', 'greve', 'droit', 'vote', 'million', 'public']",government,889
fr_1900_iron_4,fr,1900,iron,"['billet', 'classe', 'depart', 'train', 'gare', 'prix', 'valable', 'soir', 'station', 'PARIS', 'août', 'delivre', 'voyageur', 'excursion', 'Arrivee']",trains,1161
fr_1900_iron_5,fr,1900,iron,"['avril', 'octobre', 'jouissance', 'action', 'mars', 'rouble', 'votant', 'Ouest', 'obligation', 'septembre', 'Algerien', 'Guelma', 'inscrit', 'octobro', 'Deep']",international,230
fr_1900_iron_6,fr,1900,iron,"['prix', 'course', 'temperature', 'place', 'Loubet', 'voiture', 'France', 'millimètre', 'longueur', 'siecle', 'ciel', 'automobile', 'cheval', 'soleil', 'mutuel']",travel,447
fr_1900_iron_7,fr,1900,iron,"['chef', 'police', 'juge', 'hier', 'commissaire', 'heure', 'directeur', 'president', 'classe', 'general', 'prefet', 'nomme', 'ingenieur', 'colonel', 'tribunal']",crime,558
fr_1900_iron_8,fr,1900,iron,"['femme', 'coup', 'être', 'mort', 'jeune', 'nuit', 'petit', 'homme', 'main', 'oeil', 'pauvre', 'venir', 'sortir', 'côte', 'voir']",random,0
fr_1900_iron_9,fr,1900,iron,"['mlle', 'theâtre', 'artiste', 'salle', 'musique', 'scene', 'concert', 'succe', 'representation', 'soir', 'piece', 'rôle', 'fete', 'acte', 'comedie']",theatre,203
fr_1900_iron_10,fr,1900,iron,"['bien', 'être', 'vouloir', 'chose', 'trop', 'falloir', 'savoir', 'rien', 'voir', 'jamais', 'avoir', 'temps', 'livre', 'doute', 'poindre']",random,0
sp_1870_telephone_0,sp,1870,telephone,"['ayer', 'noche', 'militar', 'mañana', 'gobernador', 'autoridad', 'hora', 'noticia', 'general', 'trabajo', 'presentar', 'guardia', 'salir', 'Paris', 'prensa']",miliary,50
sp_1870_telephone_1,sp,1870,telephone,"['casa', 'calle', 'herido', 'mujer', 'joven', 'Dolores', 'hallar', 'cuarto', 'colera', 'tenia', 'pueblo', 'quedar', 'haber', 'señora', 'medico']",medicine,47
sp_1870_telephone_2,sp,1870,telephone,"['ministro', 'partido', 'gobierno', 'general', 'proyecto', 'diputado', 'periodico', 'presidente', 'politico', 'conservador', 'Consejo', 'señor', 'sesion', 'Congreso', 'ministerio']",politics,109
sp_1870_telephone_3,sp,1870,telephone,"['obra', 'idea', 'cuyo', 'ciencia', 'aparato', 'escribir', 'nota', 'sonido', 'haber', 'poner', 'podra', 'lleno', 'Francia', 'antiguo', 'formar']",science,18
sp_1870_telephone_4,sp,1870,telephone,"['vida', 'mano', 'dejar', 'toro', 'hombre', 'fiesta', 'tiempo', 'mujer', 'padre', 'hija', 'caballo', 'siglo', 'natural', 'vivo', 'llevar']",bullfight,36
sp_1870_telephone_5,sp,1870,telephone,"['España', 'pais', 'tiempo', 'creer', 'fuerza', 'crisis', 'quedar', 'hablar', 'nombre', 'pasar', 'caso', 'cosa', 'pensar', 'gobierno', 'poder']",spain,53
sp_1870_telephone_6,sp,1870,telephone,"['tierra', 'mundo', 'llamar', 'libro', 'aire', 'paso', 'poeta', 'palabra', 'cosa', 'corriente', 'venir', 'electrico', 'sabio', 'agua', 'mirar']",literature,37
sp_1870_telephone_7,sp,1870,telephone,"['pesetas', 'farmacia', 'caja', 'frasco', 'botica', 'remitir', 'curar', 'derecho', 'Madrid', 'casa', 'reales', 'vender', 'Sacramento', 'venta', 'dolor']",sales,156
sp_1870_telephone_8,sp,1870,telephone,"['precio', 'clase', 'pral', 'calle', 'Telefono', 'sueldo', 'mueble', 'vender', 'Alcala', 'barato', 'Madrid', 'surtido', 'pasivo', 'casa', 'pesetas']",sales,824
sp_1870_telephone_9,sp,1870,telephone,"['ejercito', 'español', 'carta', 'acerca', 'condición', 'hacer', 'millón', 'aplauso', 'ofrecer', 'situacion', 'principio', 'libertad', 'estudio', 'duro', 'querer']",hiring,8
sp_1870_telephone_10,sp,1870,telephone,"['acto', 'ciento', 'liar', 'Circulo', 'efecto', 'delito', 'teatro', 'publico', 'jefe', 'Carlos', 'escuela', 'recibido', 'periodo', 'Isabel', 'funcion']",random,0
sp_1870_telephone_11,sp,1870,telephone,"['servir', 'vino', 'dema', 'articulo', 'servicio', 'hierro', 'provincia', 'objeto', 'casa', 'madera', 'señora', 'capital', 'desdo', 'hotel', 'carne']",products,67
sp_1870_telephone_12,sp,1870,telephone,"['medio', 'señor', 'Jose', 'idem', 'ayer', 'Banco', 'Sres', 'pesetas', 'Madrid', 'presupuesto', 'Cuba', 'civil', 'exterior', 'Manuel', 'calle']",stock,64
fr_1920_gasoline_0,fr,1920,gasoline,"['mlle', 'Theâtre', 'matinee', 'concert', 'revue', 'comedie', 'salle', 'spectacle', 'soir', 'acte', 'theâtre', 'soiree', 'musique', 'Concert', 'representation']",theatre,466
fr_1920_gasoline_1,fr,1920,gasoline,"['Mines', 'Copper', 'American', 'Steel', 'Rand', 'joui', 'Houilleres', 'fonc', 'Chine', 'Dutch', 'pacific', 'Ohio', 'nouv', 'Shell', 'Loire']",international economy,1655
fr_1920_gasoline_2,fr,1920,gasoline,"['comte', 'comtesse', 'marquis', 'mlle', 'mort', 'hier', 'comtess', 'baron', 'vicomte', 'princesse', 'legion', 'baronne', 'prince', 'fille', 'fils']",aristocracy,490
